datetime,time_s,LiquidPrecipitationDepth_mm,BldgLight,BldgOcc
1/1/2013 1:00,0,0.8,0.05,0
1/1/2013 2:00,3600,0.6,0.05,0
1/1/2013 3:00,7200,0.1,0.05,0
1/1/2013 4:00,10800,0,0.05,0
1/1/2013 5:00,14400,0.1,0.05,0
1/1/2013 6:00,18000,0.1,0.1,0
1/1/2013 7:00,21600,0.1,0.1,0.1
1/1/2013 8:00,25200,0.1,0.3,0.2
1/1/2013 9:00,28800,0.3,0.9,1
1/1/2013 10:00,32400,0.1,0.9,1
1/1/2013 11:00,36000,0.1,0.9,1
1/1/2013 12:00,39600,0,0.9,1
1/1/2013 13:00,43200,0.1,0.9,0.5
1/1/2013 14:00,46800,0.3,0.9,1
1/1/2013 15:00,50400,0.1,0.9,1
1/1/2013 16:00,54000,1.7,0.9,1
1/1/2013 17:00,57600,1.1,0.9,1
1/1/2013 18:00,61200,0,0.5,0.3
1/1/2013 19:00,64800,0,0.3,0.1
1/1/2013 20:00,68400,0,0.3,0.1
1/1/2013 21:00,72000,0,0.2,0
1/1/2013 22:00,75600,0,0.2,0
1/1/2013 23:00,79200,0,0.1,0
1/2/2013 0:00,82800,0,0.05,0
1/2/2013 1:00,86400,0,0.05,0
1/2/2013 2:00,90000,0,0.05,0
1/2/2013 3:00,93600,2,0.05,0
1/2/2013 4:00,97200,1.4,0.05,0
1/2/2013 5:00,100800,0.2,0.05,0
1/2/2013 6:00,104400,0.2,0.1,0
1/2/2013 7:00,108000,0.6,0.1,0.1
1/2/2013 8:00,111600,1.2,0.3,0.2
1/2/2013 9:00,115200,1.1,0.9,1
1/2/2013 10:00,118800,1.1,0.9,1
1/2/2013 11:00,122400,0.6,0.9,1
1/2/2013 12:00,126000,0.5,0.9,1
1/2/2013 13:00,129600,0.6,0.9,0.5
1/2/2013 14:00,133200,0.2,0.9,1
1/2/2013 15:00,136800,0.1,0.9,1
1/2/2013 16:00,140400,0.2,0.9,1
1/2/2013 17:00,144000,0.2,0.9,1
1/2/2013 18:00,147600,0.3,0.5,0.3
1/2/2013 19:00,151200,0.4,0.3,0.1
1/2/2013 20:00,154800,0.1,0.3,0.1
1/2/2013 21:00,158400,0,0.2,0
1/2/2013 22:00,162000,0.1,0.2,0
1/2/2013 23:00,165600,0,0.1,0
1/3/2013 0:00,169200,0,0.05,0
1/3/2013 1:00,172800,0,0.05,0
1/3/2013 2:00,176400,0,0.05,0
1/3/2013 3:00,180000,0,0.05,0
1/3/2013 4:00,183600,0,0.05,0
1/3/2013 5:00,187200,0,0.05,0
1/3/2013 6:00,190800,0,0.1,0
1/3/2013 7:00,194400,0,0.1,0.1
1/3/2013 8:00,198000,0,0.3,0.2
1/3/2013 9:00,201600,0,0.9,1
1/3/2013 10:00,205200,0.2,0.9,1
1/3/2013 11:00,208800,0.1,0.9,1
1/3/2013 12:00,212400,0.1,0.9,1
1/3/2013 13:00,216000,0,0.9,0.5
1/3/2013 14:00,219600,0.1,0.9,1
1/3/2013 15:00,223200,1.8,0.9,1
1/3/2013 16:00,226800,1.6,0.9,1
1/3/2013 17:00,230400,0.6,0.9,1
1/3/2013 18:00,234000,0.1,0.5,0.3
1/3/2013 19:00,237600,0,0.3,0.1
1/3/2013 20:00,241200,0,0.3,0.1
1/3/2013 21:00,244800,0,0.2,0
1/3/2013 22:00,248400,0,0.2,0
1/3/2013 23:00,252000,0,0.1,0
1/4/2013 0:00,255600,0,0.05,0
1/4/2013 1:00,259200,0,0.05,0
1/4/2013 2:00,262800,0,0.05,0
1/4/2013 3:00,266400,0,0.05,0
1/4/2013 4:00,270000,0,0.05,0
1/4/2013 5:00,273600,0,0.05,0
1/4/2013 6:00,277200,0,0.1,0
1/4/2013 7:00,280800,0,0.1,0.1
1/4/2013 8:00,284400,0,0.3,0.2
1/4/2013 9:00,288000,0,0.9,1
1/4/2013 10:00,291600,0,0.9,1
1/4/2013 11:00,295200,0,0.9,1
1/4/2013 12:00,298800,0,0.9,1
1/4/2013 13:00,302400,0.1,0.9,0.5
1/4/2013 14:00,306000,0.1,0.9,1
1/4/2013 15:00,309600,0.6,0.9,1
1/4/2013 16:00,313200,0.9,0.9,1
1/4/2013 17:00,316800,0.5,0.9,1
1/4/2013 18:00,320400,0.3,0.5,0.3
